Date,Price
30-09-1985,325.75
31-10-1985,325.1
29-11-1985,325.3
31-12-1985,326.8
31-01-1986,350.5
28-02-1986,338.15
31-03-1986,344
30-04-1986,345.75
30-05-1986,343.2
30-06-1986,346.75
31-07-1986,357.5
29-08-1986,384.7
30-09-1986,423.2
31-10-1986,401
28-11-1986,389.5
31-12-1986,388.75
30-01-1987,400.5
27-02-1987,405.85
31-03-1987,421
30-04-1987,453.25
29-05-1987,451
30-06-1987,447.3
31-07-1987,462.5
31-08-1987,453.4
30-09-1987,459.5
30-10-1987,468.8
30-11-1987,492.5
31-12-1987,484.1
29-01-1988,458
29-02-1988,426.15
31-03-1988,456.95
29-04-1988,449
31-05-1988,455.5
30-06-1988,436.55
29-07-1988,436.8
31-08-1988,427.75
30-09-1988,396.7
31-10-1988,412.4
30-11-1988,422.6
30-12-1988,410.25
31-01-1989,394
28-02-1989,387
31-03-1989,383.2
28-04-1989,377.55
31-05-1989,361.8
30-06-1989,373
31-07-1989,368.3
31-08-1989,359.8
29-09-1989,366.5
31-10-1989,375.3
30-11-1989,408.15
29-12-1989,398.6
31-01-1990,415.05
28-02-1990,407.7
30-03-1990,368.5
30-04-1990,367.75
31-05-1990,363.05
29-06-1990,352.2
31-07-1990,372.3
31-08-1990,387.75
28-09-1990,408.4
31-10-1990,379.5
30-11-1990,384.85
31-12-1990,386.2
31-01-1991,366
28-02-1991,362.7
29-03-1991,355.65
30-04-1991,357.75
31-05-1991,360.4
28-06-1991,368.35
31-07-1991,362.85
30-08-1991,347.4
30-09-1991,354.9
31-10-1991,357.45
29-11-1991,366.3
31-12-1991,353.15
31-01-1992,354.1
28-02-1992,353.1
31-03-1992,341.7
30-04-1992,336.35
29-05-1992,337.5
30-06-1992,343.4
31-07-1992,357.85
31-08-1992,340
30-09-1992,349
30-10-1992,339.25
30-11-1992,334.2
31-12-1992,332.9
29-01-1993,330.45
26-02-1993,327.6
31-03-1993,337.8
30-04-1993,354.3
31-05-1993,377.45
30-06-1993,378.45
30-07-1993,401.75
31-08-1993,371.55
30-09-1993,355.5
29-10-1993,369.6
30-11-1993,370.9
31-12-1993,391.75
31-01-1994,377.9
28-02-1994,381.55
31-03-1994,389.2
